epoch,loss,lr,val_loss
0,0.0005786522524431348,0.001,0.0005618316354230046
1,0.0005493892240338027,0.001,0.0005291224224492908
2,0.000505036034155637,0.001,0.0004572777543216944
3,0.0004523480893112719,0.001,0.000415816466556862
4,0.00039664714131504297,0.001,0.0003618619521148503
5,0.00036571602686308324,0.001,0.0003362473798915744
6,0.00033875505323521793,0.001,0.0003189574053976685
7,0.0003196146572008729,0.001,0.0002983055601362139
8,0.0003065674100071192,0.001,0.00029355823062360287
9,0.0002924562431871891,0.001,0.0002835604827851057
10,0.000280384294455871,0.001,0.00027243365184403956
11,0.0002662931219674647,0.001,0.0002597942657303065
12,0.00025153448223136365,0.001,0.0002489087637513876
13,0.0002387230924796313,0.001,0.00023236199922394007
14,0.00023104278079699725,0.001,0.00022466978407464921
15,0.00022085629461798817,0.001,0.00022274217917583883
16,0.00022082761279307306,0.001,0.00021451567590702325
17,0.00021442545403260738,0.001,0.00020944759307894856
18,0.00021153537090867758,0.001,0.00022019031166564673
19,0.00020682040485553443,0.001,0.00020927767036482692
20,0.00020390702411532402,0.001,0.0002060791157418862
21,0.00019905471708625555,0.001,0.00019799883011728525
22,0.00019914562290068716,0.001,0.00019313108350615948
23,0.00019464183424133807,0.001,0.00020681775640696287
24,0.0001969432778423652,0.001,0.00018953121616505086
25,0.00019141410302836448,0.001,0.00019434737623669207
26,0.00018984517373610288,0.001,0.00019124809477943927
27,0.00019109972345177084,0.001,0.00019378741853870451
28,0.00019025725487153977,0.001,0.000182604999281466
29,0.00018470514623913914,0.001,0.00018525563064031303
30,0.00018649944104254246,0.001,0.00018221823847852647
31,0.00018395556253381073,0.001,0.00018247331900056452
32,0.00017997199029196054,0.001,0.0001814720017137006
33,0.00017681920144241303,0.001,0.00019047500973101705
34,0.0001780180464265868,0.001,0.00018156797159463167
35,0.00017517332162242383,0.001,0.00018882685981225222
36,0.0001771647366695106,0.001,0.00017541673150844872
37,0.00017374556045979261,0.001,0.0001788321533240378
38,0.00017913505143951625,0.001,0.0001843252539401874
39,0.00017521200061310083,0.001,0.00017884830594994128
40,0.00017401593504473567,0.001,0.00017600985302124172
41,0.0001710623037070036,0.001,0.00017392360314261168
42,0.00016851414693519473,0.001,0.00017694180132821202
43,0.00017072226910386235,0.001,0.0001738700084388256
44,0.00016868569946382195,0.001,0.0001780295860953629
45,0.00016761422739364207,0.001,0.00017168257909361273
46,0.00016625068383291364,0.001,0.00016674387734383345
47,0.0001687248150119558,0.001,0.00017512927297502756
48,0.00016783710452727973,0.001,0.0001740276929922402
49,0.00016878623864613473,0.001,0.00016839412273839116
50,0.0001650587801123038,0.001,0.00016603291442152113
51,0.00016250218322966248,0.001,0.00017247803043574095
52,0.00015472252562176436,0.0005,0.00015905745385680348
53,0.0001546567218611017,0.0005,0.00015712204913143069
54,0.0001533895410830155,0.0005,0.00016576529014855623
55,0.00015275251644197851,0.0005,0.00016064148803707212
56,0.00015076495765242726,0.0005,0.0001596447400515899
57,0.0001516878983238712,0.0005,0.00016342979506589472
58,0.00015031808288767934,0.0005,0.0001549070730106905
59,0.00015004686429165304,0.0005,0.00016381040040869266
60,0.00014999722770880908,0.0005,0.00015953881666064262
61,0.00015024964523036033,0.0005,0.0001598369562998414
62,0.0001480503851780668,0.0005,0.0001646638265810907
63,0.00014823005767539144,0.0005,0.00016178644727915525
64,0.00014448663569055498,0.00025,0.00015799456741660833
65,0.00014316229498945177,0.00025,0.00015612032439094037
66,0.00014282407937571406,0.00025,0.00015858953702263534
67,0.00014432395983021706,0.00025,0.00015381284174509346
68,0.00014306732919067144,0.00025,0.00015767778677400202
69,0.00014290167018771172,0.00025,0.0001573848130647093
70,0.00014083003043197095,0.00025,0.00015663760132156312
71,0.0001420299377059564,0.00025,0.00015411098138429224
72,0.00014079124957788736,0.00025,0.00015881190483924001
73,0.00013959639181848615,0.000125,0.00015546087524853647
74,0.0001395348081132397,0.000125,0.00015250254364218563
75,0.00013886338274460286,0.000125,0.00015339619130827487
76,0.00013865991786587983,0.000125,0.0001509571011411026
77,0.00013781728921458125,0.000125,0.00015546177746728063
78,0.00013844795466866344,0.000125,0.00015217861800920218
79,0.00013800831220578402,0.000125,0.00015514377446379513
80,0.00013705268793273717,0.000125,0.00015233055455610156
81,0.00013556898920796812,0.000125,0.00015838265244383365
82,0.00013607028813567013,6.25e-05,0.00015448694466613233
83,0.00013543661043513566,6.25e-05,0.00015730664017610252
84,0.0001348938385490328,6.25e-05,0.00015030479698907584
85,0.00013580918312072754,6.25e-05,0.0001547319261590019
86,0.00013593246694654226,6.25e-05,0.00015157066809479147
87,0.00013535322796087712,6.25e-05,0.00014783046208322048
88,0.00013453244173433632,6.25e-05,0.0001531199086457491
89,0.00013506331015378237,6.25e-05,0.0001530991430627182
90,0.00013486522948369384,6.25e-05,0.0001530338340671733
91,0.00013534360914491117,6.25e-05,0.00015459005953744054
92,0.00013468529505189508,6.25e-05,0.0001511034497525543
93,0.00013435976870823652,3.125e-05,0.00015518601867370307
94,0.0001343822805210948,3.125e-05,0.00015162337513174862
95,0.00013512239092960954,3.125e-05,0.00015209971752483398
96,0.00013384076009970158,3.125e-05,0.00015552149852737784
97,0.00013433748972602189,3.125e-05,0.00015418189286720008
